Number,Date,Price,Log Price,Circulation,Difficulty,BTC Mined Daily,Daily Transactions,Total Value of Daily Transactions (USD),Fundamental Value,Expected Price
365,2011-01-01,0.299998,-0.522881641,5027250,14484.16236,17100,594,4249,0.000845194,0.012136077
366,2011-01-03,0.299998,-0.522881641,5044450,16307.42094,17200,853,4844,0.000960263,0.01103718
367,2011-01-05,0.298998,-0.524331717,5059050,16307.42094,14600,1192,4746,0.000938121,0.010416504
368,2011-01-07,0.322,-0.492144128,5073600,16307.42094,14550,880,5304,0.001045412,0.009858364
369,2011-01-09,0.322998,-0.490800167,5090800,16307.42094,17200,1193,4919,0.000966253,0.009592071
370,2011-01-11,0.329,-0.482804102,5107250,16307.42094,16450,1262,10925,0.002139116,0.00923484
371,2011-01-13,0.405,-0.392544977,5124850,16307.42094,17600,1271,12205,0.002381533,0.01036343
372,2011-01-15,0.4,-0.397940009,5142150,18437.64439,17300,932,19660,0.003823303,0.011795213
373,2011-01-17,0.4,-0.397940009,5159450,18437.64439,17300,816,21248,0.004118268,0.01460912
374,2011-01-19,0.3401,-0.468393368,5176100,18437.64439,16650,967,14224,0.002748015,0.018200499
375,2011-01-21,0.44,-0.356547324,5193400,18437.64439,17300,1047,9737,0.00187488,0.020688939
376,2011-01-23,0.4443,-0.352323687,5210100,18437.64439,16700,1073,18353,0.003522581,0.021601362
377,2011-01-25,0.425,-0.37161107,5226900,18437.64439,16800,965,9593,0.001835313,0.025590625
378,2011-01-27,0.4174,-0.379447555,5244650,22012.38134,17750,900,244197,0.046561162,0.026251623
379,2011-01-29,0.446,-0.350665141,5260300,22012.38134,15650,1290,9028,0.001716252,0.055635231
380,2011-01-31,0.5,-0.301029996,5276000,22012.38134,15700,1815,11063,0.002096854,0.053029324
381,2011-02-02,0.840099,-0.075669532,5293050,22012.38134,17050,1004,70019,0.013228479,0.053250784
382,2011-02-04,0.88,-0.055517328,5310000,22012.38134,16950,918,23600,0.004444444,0.085511979
383,2011-02-06,0.92,-0.036212173,5327900,22012.38134,17900,857,22269,0.004179696,0.101999495
384,2011-02-08,0.9,-0.045757491,5346800,25997.87993,18900,842,26738,0.005000748,0.118594799
385,2011-02-10,1.1,0.041392685,5365400,25997.87993,18600,1866,72572,0.013525925,0.145029211
386,2011-02-12,1.0899,0.037386653,5384450,25997.87993,19050,1903,36859,0.006845453,0.259180985
387,2011-02-14,1.08,0.033423755,5403950,25997.87993,19500,1978,29065,0.005378473,0.366426944
388,2011-02-16,1.05019,0.021267879,5426100,25997.87993,22150,2062,30500,0.00562098,0.460900579
389,2011-02-18,1.05019,0.021267879,5448900,36459.88693,22800,2086,30662,0.005627191,0.591289018
390,2011-02-20,0.954896,-0.020043926,5467100,36459.88693,18200,1698,29573,0.005409266,0.75389707
391,2011-02-22,0.869499,-0.060730913,5487000,36459.88693,19900,2152,27368,0.004987789,0.924026219
392,2011-02-24,0.9499,-0.022322112,5509850,36459.88693,22850,1957,30986,0.005623747,1.047906898
393,2011-02-26,0.988567,-0.004993891,5533500,36459.88693,23650,1964,52359,0.009462185,1.27595365
394,2011-02-28,0.949231,-0.022628087,5555400,55589.51813,21900,1932,24184,0.004353242,2.398399199
395,2011-03-02,0.9498,-0.022367835,5570350,55589.51813,14950,2974,97038,0.017420449,2.167711133
396,2011-03-04,0.9392,-0.027241916,5589450,55589.51813,19100,2119,39776,0.007116264,7.725313025
397,2011-03-06,0.910445,-0.040746285,5616200,55589.51813,26750,1918,40280,0.007172109,10.08161015
398,2011-03-08,0.9072,-0.042296958,5637600,55589.51813,21400,2530,37702,0.006687598,12.58198416
399,2011-03-10,0.87,-0.060480747,5651450,76192.61935,13850,1491,115881,0.020504649,13.92377323
400,2011-03-12,0.9197,-0.036353814,5665050,76192.61935,13600,2812,60424,0.010666102,30.54653411
401,2011-03-14,0.9,-0.045757491,5676850,76192.61935,11800,2981,124309,0.021897531,30.01631862
402,2011-03-16,0.89,-0.050609993,5689000,76192.61935,12150,3237,61691,0.010843909,24.08079907
403,2011-03-18,0.850617,-0.070265942,5702450,76192.61935,13450,2759,57847,0.010144236,23.18507193
404,2011-03-20,0.79,-0.102372909,5714150,76192.61935,11700,2674,34938,0.006114295,22.80179581
405,2011-03-22,0.799646,-0.097102231,5728200,76192.61935,14050,2301,63477,0.011081492,24.42315691
406,2011-03-24,0.9,-0.045757491,5743200,76192.61935,15000,2218,98185,0.01709587,23.82528142
407,2011-03-26,0.905,-0.043351421,5758350,68977.78463,15150,2987,101642,0.017651237,22.08717317
408,2011-03-28,0.8575,-0.066765871,5774150,68977.78463,15800,3420,57362,0.009934276,20.82057639
409,2011-03-30,0.795,-0.099632871,5789650,68977.78463,15500,1625,43376,0.00749199,21.17495604
410,2011-04-01,0.79997,-0.096926299,5808500,68977.78463,18850,1573,38322,0.006597573,22.32633967
411,2011-04-03,0.7998,-0.0970186,5826300,68977.78463,17800,1603,45209,0.00775947,24.05444154
412,2011-04-05,0.71,-0.148741651,5845400,68977.78463,19100,2272,45955,0.007861737,25.50091992
413,2011-04-07,0.7677,-0.114808459,5860450,82345.64411,15050,1842,51998,0.008872697,27.14115679
414,2011-04-09,0.7676,-0.114865034,5876200,82345.64411,15750,1749,48280,0.008216194,28.46716772
415,2011-04-11,0.781,-0.107348966,5892300,82345.64411,16100,1879,36299,0.006160413,30.45066436
416,2011-04-13,1,0,5910700,82345.64411,18400,2480,74439,0.01259394,33.90437385
417,2011-04-15,1.08999,0.037422514,5925600,82345.64411,14900,2001,100098,0.016892467,33.75271133
418,2011-04-17,1.085,0.035429738,5942850,82345.64411,17250,2320,780771,0.131379893,32.10544629
419,2011-04-19,1.19,0.075546961,5957700,92347.59095,14850,3567,2000468,0.335778572,23.22937611
420,2011-04-21,1.1979,0.078420565,5973150,92347.59095,15450,1912,73586,0.012319463,18.2318739
421,2011-04-23,1.549,0.190051418,5990300,92347.59095,17150,2100,128333,0.021423468,18.81312667
422,2011-04-25,1.701,0.230704314,6007600,92347.59095,17300,2516,76427,0.012721719,18.75077546
423,2011-04-27,1.95,0.290034611,6026750,92347.59095,19150,4550,105119,0.017442071,19.37597042
424,2011-04-29,2.7,0.431363764,6044800,92347.59095,18050,3474,550045,0.090994739,19.63445661
425,2011-05-01,4.09,0.611723308,6063850,109670.1333,19050,4648,327093,0.053941473,18.04578578
426,2011-05-03,3.49,0.542825427,6083100,109670.1333,19250,3235,321812,0.052902632,17.35063372
427,2011-05-05,3.5,0.544068044,6103800,109670.1333,20700,3399,267356,0.043801566,16.82851961
428,2011-05-07,3.7,0.568201724,6124700,109670.1333,20900,3889,369563,0.060339772,16.55606443
429,2011-05-09,3.937,0.595165415,6147450,109670.1333,22750,3560,285840,0.046497328,16.13527497
430,2011-05-11,6.065,0.782830805,6166800,157416.4018,19350,3272,692885,0.1123573,15.96486553
431,2011-05-13,8.45,0.926856709,6185050,157416.4018,18250,4404,2737966,0.442674837,15.33890659
432,2011-05-15,8.55,0.931966115,6208850,157416.4018,23800,3990,2326710,0.374740894,14.21560077
433,2011-05-17,8.38901,0.923710712,6233050,157416.4018,24200,4355,1159406,0.186009418,13.4405965
434,2011-05-19,7.34,0.86569606,6256250,244112.4878,23200,5131,408467,0.065289431,13.06488923
435,2011-05-21,6.6036,0.819780759,6278100,244112.4878,21850,4822,2827342,0.450349947,13.09155984
436,2011-05-23,7.45,0.872156273,6304650,244112.4878,26550,5775,656643,0.104152173,12.54702927
437,2011-05-25,7.51,0.875639937,6334000,244112.4878,29350,6172,566716,0.089472056,12.50147863
438,2011-05-27,8.92,0.950364854,6359800,434877.0455,25800,5491,3111304,0.489214126,12.51839021
439,2011-05-29,8.4992,0.929378049,6376200,434877.0455,16400,4725,526541,0.082579122,12.10950858
440,2011-05-31,9.4998,0.977714462,6391350,434877.0455,15150,6203,636881,0.099647336,12.19693269
441,2011-06-02,10.57,1.024074987,6409750,434877.0455,18400,7157,856819,0.133674324,12.24882433
442,2011-06-04,17.41,1.240798771,6430700,434877.0455,20950,8773,1521884,0.236659151,12.24146372
443,2011-06-06,19.23,1.283979284,6453600,567269.5302,22900,9808,2089946,0.323841887,12.11528025
444,2011-06-08,31.9099,1.503925443,6471200,567269.5302,17600,11394,4909663,0.758694369,11.94531859
445,2011-06-10,35,1.544068044,6493100,567269.5302,21900,11233,3843920,0.592000739,11.62894847
446,2011-06-12,24.99,1.397766256,6516600,567269.5302,23500,11668,15503803,2.379124543,11.41114347
447,2011-06-14,20.99,1.322012439,6540100,567269.5302,23500,12602,6262642,0.957575878,10.98057602
448,2011-06-16,19.96,1.300160537,6564250,876954.4935,24150,11777,2639725,0.402136573,10.76704003
449,2011-06-18,17.2,1.235528447,6583350,876954.4935,19100,12025,1998701,0.303599383,10.72293146
450,2011-06-20,17.35,1.239299479,6605900,876954.4935,22550,11278,14519535,2.197964698,10.73730892
451,2011-06-22,15.05,1.1775365,6630950,876954.4935,25050,11810,1843731,0.278049299,10.45913829
452,2011-06-24,16.7501,1.224017404,6654850,1379192.288,23900,11134,1777963,0.267168005,10.51832539
453,2011-06-26,17.51001,1.243286394,6670150,1379192.288,15300,10298,1101639,0.165159554,10.59115454
454,2011-06-28,17.52,1.243534102,6685800,1379192.288,15650,10892,2629087,0.393234467,10.74371566
455,2011-06-30,17.5,1.243038049,6703700,1379192.288,17900,9885,1747351,0.260654713,10.77012962
456,2011-07-02,16.49,1.217220656,6721450,1379192.288,17750,9454,1501123,0.223333209,10.86766287
457,2011-07-04,15.85,1.200029267,6737650,1379192.288,16200,9495,962698,0.14288335,10.99573296
458,2011-07-06,16.5,1.217483944,6753000,1379192.288,15350,11053,1426877,0.211295276,11.20057467
459,2011-07-08,15.64276,1.194313382,6767150,1563027.996,14150,8211,780059,0.115271421,11.3491462
460,2011-07-10,15.68,1.195346058,6782250,1563027.996,15100,8057,814691,0.120121051,11.60466272
461,2011-07-12,14.63988,1.165537517,6796900,1563027.996,14650,8795,830828,0.122236314,11.86187713
462,2011-07-14,14.1,1.149219113,6813750,1563027.996,16850,8419,708563,0.103990167,12.12490821
463,2011-07-16,14.1,1.149219113,6829750,1563027.996,16000,7821,611225,0.089494491,12.42738264
464,2011-07-18,13.6901,1.13640662,6845850,1563027.996,16100,8185,2566237,0.374860244,12.77040158
465,2011-07-20,14.04,1.147367108,6861200,1690895.803,15350,8545,787825,0.114823209,12.83823552
466,2011-07-22,13.9389,1.144228502,6876100,1690895.803,14900,8437,799642,0.116292957,13.1528097
467,2011-07-24,13.979999,1.14550714,6892150,1690895.803,16050,7866,579072,0.084019065,13.47637151
468,2011-07-26,14.4,1.158362492,6908450,1690895.803,16300,8401,889346,0.128733073,13.8851714
469,2011-07-28,14,1.146128036,6925800,1690895.803,17350,7818,1298118,0.18743221,14.21068765
470,2011-07-30,13.8,1.139879086,6941450,1690895.803,15650,6854,687360,0.099022539,14.4570973
471,2011-08-01,13.5501,1.1319425,6958600,1888786.705,17150,8032,784067,0.112675969,14.87364151
472,2011-08-03,13.1,1.117271296,6973900,1888786.705,15300,8054,1241578,0.178032091,15.27367028
473,2011-08-05,11.55,1.062581984,6987450,1888786.705,13550,7308,1354022,0.193779133,15.56304798
474,2011-08-07,9.8,0.991226076,7000100,1888786.705,12650,6725,1277865,0.182549535,15.83958983
475,2011-08-09,12.1,1.08278537,7013200,1888786.705,13100,8638,838551,0.11956753,16.14462599
476,2011-08-11,10.4959,1.021019684,7028250,1888786.705,15050,8116,580148,0.082545157,16.59110822
477,2011-08-13,10.05,1.002166062,7041500,1888786.705,13250,7386,450891,0.064033374,17.17914707
478,2011-08-15,11.89,1.075181855,7054800,1888786.705,13300,8347,794343,0.112596105,17.89147148
479,2011-08-17,11.3,1.053078443,7068000,1805700.836,13200,8128,712430,0.100796548,18.4339757
480,2011-08-19,11.81,1.072249898,7082650,1805700.836,14650,7787,651408,0.091972355,19.04927719
481,2011-08-21,11.59,1.064083436,7097150,1805700.836,14500,7355,474112,0.066803153,19.73968799
482,2011-08-23,11.49,1.060320029,7114450,1805700.836,17300,7425,546621,0.076832503,20.62715784
483,2011-08-25,10.96554,1.040030023,7127400,1805700.836,12950,7082,1445247,0.202773382,21.51248112
484,2011-08-27,9.11,0.959518377,7141650,1805700.836,14250,6988,10297260,1.441860074,21.91630704
485,2011-08-29,9.4811,0.976858727,7153600,1805700.836,11950,7807,390351,0.054567071,21.28884518
486,2011-08-31,9,0.954242509,7168900,1777774.482,15300,7280,445986,0.062211218,22.44113068
487,2011-09-02,8.4989,0.929362719,7183350,1777774.482,14450,6917,476920,0.066392421,23.63182443
488,2011-09-04,8.593999999,0.934195349,7196750,1777774.482,13400,6612,568608,0.079008997,24.90251952
489,2011-09-06,7.65713,0.88406602,7211950,1777774.482,15200,7705,645989,0.08957203,26.17225281
490,2011-09-08,7.31509,0.864219674,7225550,1777774.482,13600,6481,453856,0.062812658,27.46331662
491,2011-09-10,6.20892,0.793016064,7239700,1777774.482,14150,6453,461676,0.063770046,29.26759163
492,2011-09-12,7.081,0.850094594,7253100,1777774.482,13400,6422,566694,0.078131282,31.33588777
493,2011-09-14,5.990000001,0.777426822,7267500,1755425.32,14400,6515,468495,0.064464396,33.46045291
494,2011-09-16,5.23,0.718501689,7281200,1755425.32,13700,6042,464448,0.063787288,36.3296697
495,2011-09-18,5,0.698970004,7295700,1755425.32,14500,5775,281638,0.038603287,39.96365398
496,2011-09-20,6.795,0.832189461,7308750,1755425.32,13050,7420,556567,0.076150778,46.89296093
497,2011-09-22,5.83001,0.7656693,7323650,1755425.32,14900,6808,435759,0.059500249,54.36245019
498,2011-09-24,5.66,0.752816431,7336550,1755425.32,12900,6231,377726,0.051485507,67.2253933
499,2011-09-26,5.46014,0.737203778,7350500,1755425.32,13950,5917,357898,0.048690293,80.25169607
500,2011-09-28,4.989,0.698013504,7363950,1755425.32,13450,5795,325105,0.044148181,82.74434583
501,2011-09-30,5.35,0.728353782,7376800,1689334.405,12850,5762,322381,0.043702012,75.32687555
502,2011-10-02,5.16,0.712649702,7390150,1689334.405,13350,5145,279125,0.037769869,64.38600748
503,2011-10-04,5.03,0.701567985,7403150,1689334.405,13000,5316,351417,0.047468578,52.82770184
504,2011-10-06,4.93,0.692846919,7416650,1689334.405,13500,6004,661795,0.089230987,44.32853448
505,2011-10-08,4.594,0.662190991,7429500,1689334.405,12850,5604,478236,0.064369877,40.28574122
506,2011-10-10,4.25937,0.629345368,7441550,1689334.405,12050,5530,237715,0.031944286,35.30813392
507,2011-10-12,4.20612,0.623881659,7452800,1689334.405,11250,6498,295833,0.039694209,28.68394191
508,2011-10-14,4.11455,0.614322344,7464000,1689334.405,11200,5676,316445,0.042396168,24.17109112
509,2011-10-16,3.9009,0.591164817,7477200,1468195.427,13200,4878,218919,0.029278206,20.72386679
510,2011-10-18,2.9,0.462397998,7489200,1468195.427,12000,5562,299721,0.040020429,17.25612214
511,2011-10-20,2.42,0.383815366,7500950,1468195.427,11750,4708,302146,0.040281031,15.00357631
512,2011-10-22,3.3,0.51851394,7512550,1468195.427,11600,4820,316963,0.042191134,13.16020836
513,2011-10-24,3.2,0.505149978,7523950,1468195.427,11400,5919,303468,0.040333601,11.67926336
514,2011-10-26,2.876,0.458788882,7535900,1468195.427,11950,5307,349570,0.046387293,10.38890743
515,2011-10-28,3.255,0.512550993,7546750,1468195.427,10850,5111,398532,0.052808427,9.412924071
516,2011-10-30,3.65026,0.562323799,7557550,1468195.427,10800,4888,291917,0.038625877,8.664463077
517,2011-11-01,3.35,0.525044807,7571700,1203461.926,14150,5885,423635,0.055949787,7.797546155
518,2011-11-03,3.299,0.518382316,7585600,1203461.926,13900,5746,377651,0.049785251,7.272886353
519,2011-11-05,3.21,0.506505032,7600250,1203461.926,14650,6575,358627,0.047186211,6.741813363
520,2011-11-07,3.0289,0.481284935,7614200,1203461.926,13950,5329,197525,0.025941662,6.24530659
521,2011-11-09,3.114,0.493318608,7629400,1203461.926,15200,6627,809263,0.106071644,5.550376377
522,2011-11-11,3,0.477121255,7642750,1203461.926,13350,5439,420199,0.054980079,5.504333526
523,2011-11-13,3.099,0.491221576,7656850,1203461.926,14100,5088,243426,0.031791925,5.202069018
524,2011-11-15,2.69,0.42975228,7672300,1192497.75,15450,6442,441365,0.057527078,4.738788994
525,2011-11-17,2.60031,0.415025126,7686200,1192497.75,13900,5596,6702922,0.872072285,4.517845479
526,2011-11-19,2.3,0.361727836,7699200,1192497.75,13000,4909,5513644,0.716132066,5.215247016
527,2011-11-21,2.29,0.359835482,7712350,1192497.75,13150,5044,2661522,0.345098705,5.924778173
528,2011-11-23,2.38,0.376576957,7725650,1192497.75,13300,5620,2729557,0.353310984,6.368870581
529,2011-11-25,2.56,0.408239965,7737750,1192497.75,12100,5374,454521,0.058740719,6.843716729
530,2011-11-27,2.4965,0.39733157,7749800,1192497.75,12050,4794,2783795,0.359208625,6.441917454
531,2011-11-29,2.981,0.474361976,7762950,1192497.75,13150,6529,6103599,0.786247367,6.914501666
532,2011-12-01,3.14,0.496929648,7779500,1090715.68,16550,6735,7723835,0.992844656,7.842597148
533,2011-12-03,3.12999,0.49554295,7794850,1090715.68,15350,5533,11525011,1.478541729,9.035998742
534,2011-12-05,2.93,0.46686762,7809700,1090715.68,14850,6347,5518235,0.706587321,10.72106364
535,2011-12-07,3.082,0.488832634,7825000,1090715.68,15300,7119,16375162,2.09267246,11.99070637
536,2011-12-09,3.039,0.4827307,7840250,1090715.68,15250,5686,3556927,0.453675202,14.58454921
537,2011-12-11,3.38,0.5289167,7855350,1090715.68,15100,5240,910170,0.115866257,15.63920465
538,2011-12-13,3.3,0.51851394,7868500,1155038.334,13150,5515,536072,0.068128868,14.99753366
539,2011-12-15,3.1933,0.504239721,7881850,1155038.334,13350,5476,452855,0.05745542,13.81237025
540,2011-12-17,3.23,0.509202522,7895350,1155038.334,13500,4819,428890,0.054321848,12.59640836
541,2011-12-19,3.70036,0.568243978,7910250,1155038.334,14900,5200,490970,0.062067571,11.48458756
542,2011-12-21,4.11,0.613841822,7924750,1155038.334,14500,5667,675626,0.085255182,10.61999988
543,2011-12-23,3.95,0.596597096,7939250,1155038.334,14500,5740,380340,0.047906288,10.0782334
544,2011-12-25,4.3897,0.642434841,7954550,1155038.334,15300,5307,289996,0.036456619,9.207636509
545,2011-12-27,4.06,0.608526034,7971100,1159929.497,16550,5571,335821,0.042129819,8.294478042
546,2011-12-29,4.33,0.636487896,7985600,1159929.497,14500,5023,503870,0.063097325,7.581170224
547,2011-12-31,4.995,0.698535493,8000050,1159929.497,14450,5357,415486,0.051935425,7.13891717
548,2012-01-02,5.4999,0.740354793,8015100,1159929.497,15050,5809,568334,0.070907911,6.655280479
549,2012-01-04,5.6063,0.748676334,8030900,1159929.497,15800,5636,665796,0.082904282,6.342035175
550,2012-01-06,7.22,0.858537198,8046750,1159929.497,15850,6361,1253710,0.155803275,6.110967204
551,2012-01-08,7.2,0.857332496,8063850,1159929.497,17100,6290,579522,0.071866664,6.123757489
552,2012-01-10,6.89,0.838219222,8079200,1250757.739,15350,6589,741592,0.091790276,5.855638408
553,2012-01-12,6.997,0.844911874,8095100,1250757.739,15900,6943,553600,0.068387049,5.688647816
554,2012-01-14,6.75,0.829303773,8109300,1250757.739,14200,6734,836496,0.103152677,5.436032871
555,2012-01-16,7.18888,0.856661234,8124600,1250757.739,15300,6685,917770,0.112961869,5.326730915
556,2012-01-18,6.95,0.841984805,8139600,1250757.739,15000,7215,1066261,0.130996732,5.248911131
557,2012-01-20,6.58,0.818225894,8153300,1250757.739,13700,6718,963301,0.118148602,5.217019277
558,2012-01-22,6.39,0.805500858,8168750,1307728.361,15450,5259,397685,0.048683703,5.154741371
559,2012-01-24,6.515,0.81391442,8184050,1307728.361,15300,6817,630962,0.077096548,4.847756913
560,2012-01-26,6.2,0.792391689,8198300,1307728.361,14250,6736,811708,0.099009307,4.685293357
561,2012-01-28,5.74815,0.759528093,8213000,1307728.361,14700,6095,484063,0.058938634,4.594595245
562,2012-01-30,5.6,0.748188027,8229450,1307728.361,16450,6019,463445,0.056315428,4.382835927
563,2012-02-01,5.638,0.751125072,8244100,1307728.361,14650,6900,789751,0.095795903,4.176572066
564,2012-02-03,6.148,0.788733859,8260250,1307728.361,16150,6943,725368,0.087814291,4.09898463
565,2012-02-05,5.9625,0.775428392,8275250,1379647.439,15000,6616,660909,0.079865744,4.005996744
566,2012-02-07,5.70999,0.756635348,8289800,1379647.439,14550,6799,650888,0.078516731,3.897832138
567,2012-02-09,5.8,0.763427994,8303600,1379647.439,13800,7259,536018,0.064552483,3.791737023
568,2012-02-11,6,0.77815125,8317850,1379647.439,14250,7624,618951,0.074412378,3.654282206
569,2012-02-13,5.72,0.757396029,8333200,1379647.439,15350,7514,781324,0.09376038,3.55066742
570,2012-02-15,4.88,0.688419822,8347100,1379647.439,13900,9511,2096214,0.251130812,3.492640165
571,2012-02-17,4.76998,0.678516558,8360650,1379647.439,13550,7128,900215,0.107672848,3.6100447
